results/objectId,results/location/__type,results/location/latitude,results/location/longitude,results/cityId,results/name,results/country,results/countryCode,results/featureCode,results/adminCode,results/population,results/createdAt,results/updatedAt,results/muni
2QwzNGuub8,GeoPoint,42.68583,26.32917,727079,Sliven,Bulgaria,BG,PPLA,56,96368,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
vjFq9UgDU7,GeoPoint,43.27064,26.92286,727233,Shumen,Bulgaria,BG,PPLA,54,87283,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
HCgyFer0iV,GeoPoint,43.53983,28.53429,727329,Shabla,Bulgaria,BG,PPLA2,40,3901,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
4zMm8759ta,GeoPoint,42.28333,23.26667,727441,Sapareva Banya,Bulgaria,BG,PPL,45,4610,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
qo7aoUrQB8,GeoPoint,44.11667,27.26667,727221,Silistra,Bulgaria,BG,PPLA,55,39715,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
nIn17U80AW,GeoPoint,43.51667,26.75,727455,Samuil,Bulgaria,BG,PPL,52,2283,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
QGnxiRtRQO,GeoPoint,42.337,23.5528,727462,Samokov,Bulgaria,BG,PPL,58,26765,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
vtEtCa39Fp,GeoPoint,43.65,26.36667,727358,Senovo,Bulgaria,BG,PPL,53,1459,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,RSE05-08
MFIBMCBhbC,GeoPoint,43.02583,25.11361,727337,Sevlievo,Bulgaria,BG,PPL,41,24582,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
f1sBD8JfUG,GeoPoint,41.61667,23.98333,727423,Satovcha,Bulgaria,BG,PPL,38,2382,2019-12-12T18:54:52.370Z,2019-12-12T18:54:52.370Z,
yFPZwo5YBs,GeoPoint,43.62179,22.83286,727495,Ruzhintsi,Bulgaria,BG,PPLA2,63,1269,2019-12-12T18:54:52.741Z,2019-12-12T18:54:52.741Z,
OjJxTOwQts,GeoPoint,43.85639,25.97083,727523,Ruse,Bulgaria,BG,PPLA,53,156238,2019-12-12T18:54:52.741Z,2019-12-12T18:54:52.741Z,
8YKjYWm8WB,GeoPoint,42.13178,24.93999,727479,Sadovo,Bulgaria,BG,PPL,51,2656,2019-12-12T18:54:52.741Z,2019-12-12T18:54:52.741Z,
YDXICul2h6,GeoPoint,41.48751,24.84945,727552,Rudozem,Bulgaria,BG,PPLA2,57,3783,2019-12-12T18:54:52.741Z,2019-12-12T18:54:52.741Z,
6yBozkRk90,GeoPoint,42.8,27.28333,727547,Ruen,Bulgaria,BG,PPL,39,2339,2019-12-12T18:54:52.741Z,2019-12-12T18:54:52.741Z,
NAxeGsR3uO,GeoPoint,41.8863,23.46714,727689,Razlog,Bulgaria,BG,PPL,38,12486,2019-12-12T18:54:52.741Z,2019-12-12T18:54:52.741Z,
CHw7N5WmQE,GeoPoint,42.13333,23.13333,727628,Rila,Bulgaria,BG,PPL,45,3002,2019-12-12T18:54:52.741Z,2019-12-12T18:54:52.741Z,
JTyOhvmWgp,GeoPoint,43.15,23.91667,727598,Roman,Bulgaria,BG,PPL,64,3571,2019-12-12T18:54:52.741Z,2019-12-12T18:54:52.741Z,
3nqzR8aAcJ,GeoPoint,42.64185,27.67713,727759,Ravda,Bulgaria,BG,PPL,39,2556,2019-12-12T18:54:52.742Z,2019-12-12T18:54:52.742Z,BGS15-08
r6sQ3zECJI,GeoPoint,43.53333,26.51667,727696,Razgrad,Bulgaria,BG,PPLA,52,38285,2019-12-12T18:54:52.741Z,2019-12-12T18:54:52.741Z,
kzhZwLTT3f,GeoPoint,42.3,25.93333,727838,Radnevo,Bulgaria,BG,PPL,59,14667,2019-12-12T18:54:52.742Z,2019-12-12T18:54:52.742Z,
vT8VdHpVcI,GeoPoint,41.99012,24.0873,727801,Rakitovo,Bulgaria,BG,PPLA2,48,8376,2019-12-12T18:54:52.742Z,2019-12-12T18:54:52.742Z,
0lKlQChsCE,GeoPoint,43.15,25.65,727884,Parvomaytsi,Bulgaria,BG,PPL,62,2867,2019-12-12T18:54:52.742Z,2019-12-12T18:54:52.742Z,VTR06-10
VKcexDo1Bm,GeoPoint,42.3,24.96667,727791,Rakovski,Bulgaria,BG,PPL,51,15782,2019-12-12T18:54:52.742Z,2019-12-12T18:54:52.742Z,
Z0RIJcN5e3,GeoPoint,42.88333,23.91667,728011,Pravets,Bulgaria,BG,PPL,58,4400,2019-12-12T18:54:52.742Z,2019-12-12T18:54:52.742Z,
